"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"LATITUDE";"LONGITUDE";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"ODM-90002";"ODM-90002-02";"Potência Normal Lento";"Offline";"Odemira";"ZAMBUJEIRA DO MAR; BECO DO ELIAS";"37.52515";"-8.7868972";"GLP - Galp";"Não";"Baixa Tensão Normal";"Mennekes";"SOCKET";"3,7";"Offline";"2026-01-28T05:32:03.168Z"
"ODM-90004";"ODM-90004-01";"Potência Normal Lento";"Offline";"Odemira";"VILA NOVA DE MILFONTES; AVENIDA MARGINAL";"37.723469";"-8.785228";"GLP - Galp";"Não";"Baixa Tensão Normal";"Mennekes";"SOCKET";"3,7";"Offline";"2026-01-27T15:40:50.648Z"
"ODM-90004";"ODM-90004-02";"Potência Normal Lento";"Offline";"Odemira";"VILA NOVA DE MILFONTES; AVENIDA MARGINAL";"37.723469";"-8.785228";"GLP - Galp";"Não";"Baixa Tensão Normal";"Mennekes";"SOCKET";"3,7";"Offline";"2026-01-27T15:40:50.648Z"
"ODV-00004";"ODV-00004-1";"Alta Potência Rápido";"Fora de Serviço";"Odivelas";"Avenida Acácias";"38.798841";"-9.197785";"PRI - Prio";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"50";"Disponível";"2026-01-31T15:38:59.845Z"
"ODV-00005";"PT-EDP-EODV-00005-1";"Potência Normal Médio";"Em uso";"Odivelas";"Quinta do Segulim";"38.814827";"-9.222738";"EDP - EDP Comercial";"Não";"Média Tensão";"Mennekes";"SOCKET";"22";"Em uso";"2026-01-31T14:52:50.593Z"
"ODV-00005";"PT-EDP-EODV-00005-2";"Potência Normal Médio";"Em uso";"Odivelas";"Quinta do Segulim";"38.814827";"-9.222738";"EDP - EDP Comercial";"Não";"Média Tensão";"Mennekes";"SOCKET";"22";"Em uso";"2026-01-31T14:52:50.593Z"
"ODV-00006";"ODV-00006-01";"Alta Potência Rápido";"Disponível";"Odivelas";"(M?) LOTEAMENTO DO CASAL DO TROCA - LOTE 2";"38.78389";"-9.19195";"GLG - Galp";"Não";"Baixa Tensão Especial";"CHAdeMO";"CABLE";"50";"Fora de Serviço";"2026-01-31T15:35:19.991Z"
"ODV-00006";"ODV-00006-02";"Alta Potência Rápido";"Disponível";"Odivelas";"(M?) LOTEAMENTO DO CASAL DO TROCA - LOTE 2";"38.78389";"-9.19195";"GLG - Galp";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"50";"Em uso";"2026-01-31T15:35:19.991Z"
"ODV-00006";"ODV-00006-03";"Alta Potência Rápido";"Disponível";"Odivelas";"(M?) LOTEAMENTO DO CASAL DO TROCA - LOTE 2";"38.78389";"-9.19195";"GLG - Galp";"Não";"Baixa Tensão Especial";"Mennekes";"CABLE";"43";"Disponível";"2026-01-31T15:35:19.991Z"
"ODV-00011";"ODV-00011-01";"Alta Potência Rápido";"Disponível";"Odivelas";"Rua Aires Ornelas/Rua do Vale Forno";"38.785311";"-9.17918";"REP - Repsol";"Não";"Baixa Tensão Especial";"CHAdeMO";"CABLE";"30";"Disponível";"2026-01-31T15:37:57.858Z"
"ODV-00011";"ODV-00011-02";"Alta Potência Rápido";"Disponível";"Odivelas";"Rua Aires Ornelas/Rua do Vale Forno";"38.785311";"-9.17918";"REP - Repsol";"Não";"Baixa Tensão Especial";"CCS";"CABLE";"30";"Disponível";"2026-01-31T15:37:57.858Z"
"ODV-00011";"ODV-00011-03";"Alta Potência Rápido";"Disponível";"Odivelas";"Rua Aires Ornelas/Rua do Vale Forno";"38.785311";"-9.17918";"REP - Repsol";"Não";"Baixa Tensão Especial";"Mennekes";"CABLE";"22";"Disponível";"2026-01-31T15:37:57.858Z"
